B1L114_4,  90.037587,  250.858150,  -65.539992
B1L115_1,  27.506749,  250.945819,  -107.422217
B1L115_2,  28.184948,  -241.156181,  -108.176745
B1L115_3,  59.388864,  -241.083013,  -94.969263
B1L115_4,  58.828756,  250.905002,  -94.427115
NSWD1,  65.903880,  -1364.587969,  -111.622117
NSWD2,  130.330344,  -1364.133639,  -1.898458
NSWD3,  61.949942,  -1363.999965,  107.666064
CFRW8_2,  187.404143,  -1354.230136,  -3.090955
CFRW7_2,  187.285520,  -1021.124702,  -3.226183
CFRW6_2,  187.169609,  -687.469193,  -2.584334
CFRW5_2,  187.049913,  -354.021996,  -2.661595
CFRW1_2,  187.243961,  1363.836082,  -2.204047
CFRW2_1,  1.195607,  1030.106154,  -181.692249
CFRW2_2,  187.304703,  1030.255758,  -2.190709
CFRW3_1,  1.215798,  696.763998,  -182.208086
CFRW3_2,  187.176189,  696.571699,  -2.098435
CFRW4_1,  1.236495,  363.931101,  -181.673225
CFRW4_2,  186.979814,  363.787914,  -1.886260
CFRW5_1,  0.798765,  -354.487284,  -182.124931
CFRW6_1,  1.162984,  -687.795816,  -182.245177
CFRW7_1,  0.647503,  -1021.283360,  -182.036541
CFRW8_1,  1.168807,  -1354.205270,  -182.260619
SSWD1,  62.809951,  1373.607713,  -113.402887
SSWD2,  131.075883,  1373.546348,  -1.289784
SSWD3,  65.094803,  1373.239684,  107.597679
CFRW1_1,  1.833268,  1363.682916,  -182.262564
CFRW1_3,  0.303793,  1363.396107,  181.862539
CFRW2_3,  -0.067324,  1030.033265,  181.202938
CFRW3_3,  -0.378850,  696.898156,  181.138940
CFRW4_3,  -0.512696,  363.723318,  181.043707
CFRW5_3,  0.113113,  -354.003409,  181.100247
CFRW6_3,  -0.052572,  -687.203607,  180.940133
CFRW7_3,  0.538434,  -1020.950886,  180.882989
CFRW8_3,  0.624452,  -1354.193242,  180.711149
